Pred: don           True: don
Pred:  real         True:  safe
Pred: </s>          True: </s>
Pred:  real         True: <pad>

Pred: double        True: double
Pred:  double       True:  deck
Pred:  double       True: er
Pred:  double       True:  bus
Pred:  double       True: </s>

Pred: electric      True: electric
Pred: electric      True: </s>
Pred:  electric     True: <pad>
Pred: electric      True: <pad>
Pred: </s>          True: <pad>

Pred: gar           True: gar
Pred: </s>          True: field
Pred: gar           True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

LOSS: 11.531285285949707 
------------------------- 
Pred: past          True: past
Pred:  past         True: ry
Pred: past          True: </s>

Pred: j             True: j
Pred: j             True: ockey
Pred: j             True: </s>

Pred: sc            True: sc
Pred: sc            True: are
Pred: sc            True: </s>

Pred: ca            True: ca
Pred: ca            True: ution
Pred: ca            True: </s>

LOSS: 5.518961429595947 
------------------------- 
Pred: cy            True: cy
Pred: cy            True: cling
Pred: cy            True: </s>

Pred: bench         True: bench
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred:  study        True: study
Pred: </s>          True: </s>
Pred:  study        True: <pad>

Pred: tail          True: tail
Pred: tail          True: or
Pred:  styling      True: </s>

LOSS: 6.504737377166748 
------------------------- 
Pred: </s>          True: time
Pred: </s>          True: </s>
Pred:  time         True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: row           True: row
Pred:  in           True:  boats
Pred:  the          True: </s>
Pred:  the          True: <pad>
Pred:  the          True: <pad>

Pred: con           True: con
Pred: con           True: ven
Pred:  sale         True: ience
Pred:  sale         True:  store
Pred: con           True: </s>

Pred: ling          True: s
Pred: )             True: ugar
Pred: s             True: </s>
Pred:  stock        True: <pad>
Pred: </s>          True: <pad>

LOSS: 12.12939453125 
------------------------- 
Pred: </s>          True: ped
Pred: </s>          True: iatric
Pred:  ped          True: ian
Pred: </s>          True: </s>

Pred: amer          True: amer
Pred: amer          True: ican
Pred:  americ       True: </s>
Pred:  americ       True: <pad>

Pred: 18            True: 18
Pred: </s>          True: 39
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred: m             True: m
Pred: works         True: otor
Pred: )))           True: </s>
Pred:  m            True: <pad>

LOSS: 9.479728698730469 
------------------------- 
Pred: walk          True: walk
Pred: walk          True: ed
Pred: op            True: </s>

Pred: s             True: s
Pred:  to           True: ick
Pred: s             True: </s>

Pred: z             True: z
Pred: z             True: oo
Pred: z             True: </s>

Pred: ind           True: ind
Pred: </s>          True: ia
Pred: </s>          True: </s>

LOSS: 4.871704578399658 
------------------------- 
Pred: ham           True: ham
Pred: ham           True: bur
Pred: ham           True: ger
Pred: </s>          True: </s>

Pred: united        True: united
Pred: united        True:  states
Pred: united        True: </s>
Pred:  united       True: <pad>

Pred: high          True: high
Pred:  high         True:  tide
Pred:  high         True: </s>
Pred:  high         True: <pad>

Pred: pass          True: pass
Pred: '             True: engers
Pred: '             True: </s>
Pred: '             True: <pad>

LOSS: 9.460864067077637 
------------------------- 
Pred: sm            True: sm
Pred:  sm           True: oke
Pred:  smoke        True: </s>

Pred: she           True: she
Pred: she           True: ers
Pred: she           True: </s>

Pred: </s>          True: 200
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred:  over         True: bridge
Pred:  the          True: </s>
Pred:  the          True: <pad>

LOSS: 7.8284759521484375 
------------------------- 
Pred: ben           True: ben
Pred: ben           True:  frank
Pred:  on           True: lin
Pred:  ben          True: </s>

Pred: apple         True: apple
Pred: apple         True:  pie
Pred: apple         True: </s>
Pred:  apple        True: <pad>

Pred: flu           True: flu
Pred: flu           True: orescent
Pred: flu           True: </s>
Pred:  flu          True: <pad>

Pred: out           True: out
Pred: out           True: field
Pred: out           True: </s>
Pred: out           True: <pad>

LOSS: 9.843559265136719 
------------------------- 
Pred: pole          True: pole
Pred: p             True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred:  on           True: fall
Pred:  on           True: ing
Pred:  on           True:  down
Pred: </s>          True: </s>

Pred: through       True: through
Pred: through       True:  sky
Pred: through       True: </s>
Pred:  darkness     True: <pad>

Pred: cal           True: cal
Pred: cal           True: zone
Pred: cal           True: </s>
Pred:  in           True: <pad>

LOSS: 9.860851287841797 
------------------------- 
Pred: ital          True: ital
Pred: </s>          True: ian
Pred: </s>          True: </s>

Pred: d             True: d
Pred: d             True: iamond
Pred: d             True: </s>

Pred: )             True: begin
Pred: )             True: ning
Pred:  i            True: </s>

Pred: </s>          True: 1982
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

LOSS: 6.500585079193115 
------------------------- 
Pred: </s>          True: winter
Pred: </s>          True: </s>
Pred:  snow         True: <pad>
Pred: </s>          True: <pad>

Pred: </s>          True: 2
Pred:  and          True:  passenger
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred: </s>          True: t
Pred: </s>          True: asty
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred: che           True: che
Pred: che           True: er
Pred: che           True: ful
Pred: che           True: </s>

LOSS: 10.425352096557617 
------------------------- 
Pred: g             True: g
Pred: g             True: ays
Pred:  boxes        True: </s>

Pred:  vegetables   True: ve
Pred:  vegetarian   True: gan
Pred:  vegetarian   True: </s>

Pred: gap           True: gap
Pred: gap           True: </s>
Pred:  pressure     True: <pad>

Pred:  college      True: college
Pred: college       True: </s>
Pred:  college      True: <pad>

LOSS: 8.097027778625488 
------------------------- 
Pred: ,             True: very
Pred: ever          True: </s>
Pred: ,             True: <pad>
Pred:  any          True: <pad>

Pred: illy          True: c
Pred: now           True: andy
Pred: s             True: </s>
Pred:  movies       True: <pad>

Pred: air           True: air
Pred: air           True: f
Pred: air           True: rance
Pred: air           True: </s>

Pred: heter         True: heter
Pred: heter         True: osexual
Pred: heter         True: </s>
Pred: heter         True: <pad>

LOSS: 10.484177589416504 
------------------------- 
Pred: ch            True: ch
Pred:  ch           True: ina
Pred: ch            True: </s>

Pred: good          True: good
Pred:  good         True:  place
Pred:  good         True: </s>

Pred: big           True: big
Pred: </s>          True:  ben
Pred: </s>          True: </s>

Pred: dark          True: dark
Pred:  night        True: </s>
Pred:  dark         True: <pad>

LOSS: 6.745265960693359 
------------------------- 
Pred: woman         True: woman
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: p             True: p
Pred:  p            True: izz
Pred: p             True: ah
Pred: p             True: ut
Pred: p             True: </s>

Pred: du            True: du
Pred: du            True: cks
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: ve            True: ve
Pred: ve            True: get
Pred: '             True: ables
Pred:  vegetarian   True: </s>
Pred:  plant        True: <pad>

LOSS: 11.406464576721191 
------------------------- 
Pred: b             True: b
Pred: )             True: angs
Pred: b             True: </s>
Pred:  b            True: <pad>

Pred: air           True: air
Pred: </s>          True: plane
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred: dis           True: dis
Pred: dis           True: ney
Pred: dis           True: </s>
Pred:  dis          True: <pad>

Pred: cele          True: cele
Pred: cele          True: b
Pred:  anniversary  True: ration
Pred:  anniversary  True: </s>

LOSS: 8.830256462097168 
------------------------- 
Pred: land          True: land
Pred: land          True: </s>
Pred:  hard         True: <pad>
Pred:  by           True: <pad>

Pred: pat           True: pat
Pred: pat           True: rol
Pred: pat           True: </s>
Pred: </s>          True: <pad>

Pred: lear          True: lear
Pred: </s>          True:  jet
Pred: </s>          True: </s>
Pred: )             True: <pad>

Pred: l             True: l
Pred: )             True: aund
Pred: l             True: ry
Pred: l             True: </s>

LOSS: 10.558427810668945 
------------------------- 
Pred: meat          True: meat
Pred: meat          True: ball
Pred:  meat         True: </s>
Pred: meat          True: <pad>

Pred: log           True: log
Pred:  software     True: itech
Pred: log           True: </s>
Pred: log           True: <pad>

Pred: </s>          True: women
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: child         True: child
Pred: child         True: s
Pred:  adult        True:  room
Pred: house         True: </s>

LOSS: 10.573199272155762 
------------------------- 
Pred:  the          True: in
Pred:  a            True:  half
Pred: in            True: </s>
Pred:  gonna        True: <pad>

Pred: </s>          True: fire
Pred:  fire         True: </s>
Pred:  fire         True: <pad>
Pred: </s>          True: <pad>

Pred: ome           True: ome
Pred: ome           True: ga
Pred: ,             True:  3
Pred: ...           True: </s>

Pred:  vict         True: vict
Pred:  vict         True: orian
Pred: </s>          True: </s>
Pred:  vict         True: <pad>

LOSS: 10.600157737731934 
------------------------- 
Pred: rag           True: rag
Pred: ower          True: d
Pred: arist         True: oll
Pred: ered          True: </s>

Pred: si            True: si
Pred: si            True: ames
Pred: si            True: e
Pred: si            True: </s>

Pred: </s>          True: green
Pred: </s>          True:  giant
Pred: green         True: </s>
Pred:  green        True: <pad>

Pred: disc          True: disc
Pred:  disc         True: us
Pred: disc          True: </s>
Pred:  disc         True: <pad>

LOSS: 8.806859016418457 
------------------------- 
Pred: d             True: d
Pred: d             True: avid
Pred: d             True:  a
Pred: d             True: ards
Pred: d             True: man
Pred: d             True: </s>

Pred: s             True: sc
Pred: </s>          True: issors
Pred: </s>          True: </s>
Pred:  sc           True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: cake          True: cake
Pred: cake          True: </s>
Pred:  frost        True: <pad>
Pred:  the          True: <pad>
Pred:  the          True: <pad>
Pred:  for          True: <pad>

Pred: </s>          True: s
Pred: </s>          True: ushi
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

LOSS: 13.344408988952637 
------------------------- 
Pred:  f            True: f
Pred: f             True: ence
Pred:  f            True:  posts
Pred:  f            True: </s>

Pred: ml            True: ml
Pred: ml            True: b
Pred: ml            True: </s>
Pred: ml            True: <pad>

Pred: 1969          True: 1969
Pred: 1969          True: </s>
Pred: 1969          True: <pad>
Pred: 1969          True: <pad>

Pred:  through      True: rolling
Pred: rolling       True: </s>
Pred: rolling       True: <pad>
Pred:  w            True: <pad>

LOSS: 11.578567504882812 
------------------------- 
Pred:  the          True: vision
Pred: vision        True: </s>
Pred: '             True: <pad>
Pred:  for          True: <pad>

Pred:  r            True: r
Pred:  r            True: acket
Pred: </s>          True: </s>
Pred:  r            True: <pad>

Pred: pool          True: pool
Pred: pool          True: side
Pred: pool          True: </s>
Pred: pool          True: <pad>

Pred: m             True: m
Pred: m             True: otor
Pred:  m            True: cycle
Pred: m             True: </s>

LOSS: 11.231858253479004 
------------------------- 
Pred: se            True: se
Pred: rest          True: p
Pred:  se           True: ia
Pred: ee            True: </s>

Pred: </s>          True: at
Pred: </s>          True:  home
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred:  digital      True: ip
Pred: ip            True: od
Pred: ip            True: </s>
Pred: </s>          True: <pad>

Pred:  student      True: student
Pred:  student      True: </s>
Pred:  student      True: <pad>
Pred:  student      True: <pad>

LOSS: 10.852554321289062 
------------------------- 
Pred: h             True: h
Pred: h             True: ij
Pred: h             True: ab
Pred: h             True: </s>

Pred: poly          True: poly
Pred: poly          True: sty
Pred:  poly         True: rene
Pred: poly          True: </s>

Pred:  stop         True: per
Pred: per           True: u
Pred: </s>          True: </s>
Pred: ")            True: <pad>

Pred: t             True: t
Pred: </s>          True: ou
Pred: can           True: can
Pred: t             True: </s>

LOSS: 5.716695785522461 
------------------------- 
Pred: sur           True: sur
Pred: </s>          True: fing
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred: </s>          True: to
Pred:  no           True: ilet
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred:  in           True: sun
Pred: ood           True: fl
Pred: </s>          True: owers
Pred:  desert       True: </s>

Pred: square        True: square
Pred: circle        True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

LOSS: 10.255454063415527 
------------------------- 
Pred: wild          True: wild
Pred: wild          True: </s>
Pred: wild          True: <pad>
Pred: wild          True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: sp            True: sp
Pred: sp            True: oon
Pred: sp            True: ful
Pred: sp            True:  of
Pred: beans         True:  sugar
Pred: sp            True: </s>

Pred: ure           True: c
Pred:  c            True: abin
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: j             True: j
Pred:  j            True: umping
Pred:  j            True: </s>
Pred:  the          True: <pad>
Pred: !!            True: <pad>
Pred:  about        True: <pad>

LOSS: 14.45596694946289 
------------------------- 
Pred: birth         True: birth
Pred: birth         True: day
Pred: birth         True: </s>
Pred: </s>          True: <pad>
Pred: birth         True: <pad>

Pred:  0            True: 0
Pred:  0            True: </s>
Pred:  0            True: <pad>
Pred:  0            True: <pad>
Pred:  0            True: <pad>

Pred:  ho           True: to
Pred: o             True:  go
Pred: </s>          True:  to
Pred: </s>          True:  bathroom
Pred: to            True: </s>

Pred: stone         True: stone
Pred: stone         True: </s>
Pred: stone         True: <pad>
Pred: stone         True: <pad>
Pred: stone         True: <pad>

LOSS: 12.342829704284668 
------------------------- 
Pred: o             True: o
Pred: o             True: cean
Pred: </s>          True: </s>

Pred: har           True: har
Pred: har           True: bor
Pred: har           True: </s>

Pred: dr            True: dr
Pred: dr            True: unk
Pred: dr            True: </s>

Pred:  0            True: 0
Pred:  0            True: </s>
Pred: "             True: <pad>

LOSS: 6.824487209320068 
------------------------- 
Pred:  push         True: push
Pred:  button       True: back
Pred:  push         True: </s>
Pred:  push         True: <pad>

Pred: ban           True: ban
Pred: ban           True: ana
Pred: ban           True: </s>
Pred: ban           True: <pad>

Pred: che           True: che
Pred: che           True: er
Pred: che           True: ios
Pred: che           True: </s>

Pred: mar           True: mar
Pred:  mar          True: ina
Pred: mar           True: </s>
Pred:  mar          True: <pad>

LOSS: 10.632953643798828 
------------------------- 
Pred:  like         True: s
Pred: )             True: amsung
Pred: ant           True:  refriger
Pred: </s>          True: ators
Pred: </s>          True: </s>

Pred: sub           True: sub
Pred: sub           True: way
Pred: sub           True: </s>
Pred: )             True: <pad>
Pred: ''            True: <pad>

Pred: sur           True: sur
Pred:  sea          True: fing
Pred:  sea          True: q
Pred: sur           True: </s>
Pred:  snow         True: <pad>

Pred: grey          True: grey
Pred: grey          True: hound
Pred: grey          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

LOSS: 10.309276580810547 
------------------------- 
Pred: pen           True: pen
Pred:  pens         True: </s>
Pred: </s>          True: <pad>

Pred: apple         True: apple
Pred: apple         True: </s>
Pred: apple         True: <pad>

Pred: clock         True: clock
Pred: clock         True: </s>
Pred:  clock        True: <pad>

Pred: </s>          True: gy
Pred: </s>          True: psy
Pred: </s>          True: </s>

LOSS: 8.721842765808105 
------------------------- 
Pred: ce            True: ce
Pred: ce            True: ment
Pred: ce            True: </s>
Pred:  here         True: <pad>

Pred:  t            True: t
Pred:  t            True: our
Pred:  t            True: ists
Pred:  t            True: </s>

Pred: le            True: le
Pred: le            True: ash
Pred: le            True: </s>
Pred: </s>          True: <pad>

Pred: r             True: r
Pred:  r            True: ussia
Pred:  r            True: </s>
Pred:  r            True: <pad>

LOSS: 9.007472038269043 
------------------------- 
Pred: air           True: air
Pred: air           True: plane
Pred: air           True: </s>
Pred: air           True: <pad>
Pred:  between      True: <pad>
Pred:  among        True: <pad>

Pred: d             True: d
Pred: d             True: ough
Pred: d             True: </s>
Pred: d             True: <pad>
Pred: d             True: <pad>
Pred: </s>          True: <pad>

Pred: tt            True: t
Pred: tt            True: ad
Pred: t             True:  will
Pred: t             True: iam
Pred: </s>          True: s
Pred: </s>          True: </s>

Pred: d             True: d
Pred: d             True: ance
Pred: d             True: </s>
Pred: d             True: <pad>
Pred: d             True: <pad>
Pred: </s>          True: <pad>

LOSS: 13.851889610290527 
------------------------- 
Pred: </s>          True: lights
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: comm          True: comm
Pred: comm          True: uter
Pred:  on           True:  train
Pred: comm          True: </s>

Pred: ret           True: ret
Pred:  since        True: irement
Pred:  1980         True: </s>
Pred:  1980         True: <pad>

Pred: )             True: b
Pred: we            True: lu
Pred:  wireless     True: etooth
Pred: b             True: </s>

LOSS: 9.687283515930176 
------------------------- 
Pred: </s>          True: person
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: loc           True: loc
Pred: :             True: om
Pred: :             True: otive
Pred: </s>          True: </s>

Pred: wife          True: wife
Pred: wife          True:  be
Pred:  husband      True: ater
Pred: </s>          True: </s>

Pred: al            True: al
Pred: al            True: ps
Pred: al            True: </s>
Pred: </s>          True: <pad>

LOSS: 8.270874977111816 
------------------------- 
Pred: ch            True: ch
Pred: ch            True: ow
Pred: ch            True: </s>

Pred: af            True: af
Pred: af            True: rica
Pred:  af           True: </s>

Pred: </s>          True: 1970
Pred: </s>          True: 's
Pred: </s>          True: </s>

Pred: ch            True: ch
Pred: ch            True: ips
Pred: ch            True: </s>

LOSS: 5.740665912628174 
------------------------- 
Pred: sk            True: sk
Pred:  skating      True: ate
Pred: </s>          True: park
Pred: sk            True: </s>

Pred: </s>          True: tank
Pred: tank          True: er
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred: leg           True: leg
Pred: leg           True: o
Pred: leg           True:  man
Pred: leg           True: </s>

Pred:  0            True: 0
Pred: 0             True: </s>
Pred:  0            True: <pad>
Pred: )             True: <pad>

LOSS: 9.196610450744629 
------------------------- 
Pred: humans        True: humans
Pred: humans        True: </s>
Pred: </s>          True: <pad>
Pred: humans        True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: val           True: val
Pred: )             True: ent
Pred: )             True: ines
Pred: val           True: </s>
Pred: )             True: <pad>
Pred: )))           True: <pad>
Pred: )))           True: <pad>
Pred: )))           True: <pad>

Pred: fl            True: fl
Pred:  fl           True: our
Pred: </s>          True:  ch
Pred:  fl           True: oc
Pred:  fl           True: late
Pred:  fl           True:  eggs
Pred: </s>          True:  milk
Pred: </s>          True: </s>

Pred: ch            True: ch
Pred: ch            True: iqu
Pred:  ch           True: ita
Pred: food          True: </s>
Pred:  ch           True: <pad>
Pred:  ch           True: <pad>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

LOSS: 15.186149597167969 
------------------------- 
Pred: ch            True: ch
Pred: ch            True: icken
Pred: ch            True:  pot
Pred: st            True:  pie
Pred: ch            True: </s>

Pred: </s>          True: t
Pred: </s>          True: ru
Pred: </s>          True: cks
Pred: </s>          True: </s>
Pred: </s>          True: <pad>

Pred: </s>          True: 60
Pred: </s>          True:  f
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred:  as           True: watching
Pred: </s>          True:  planes
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

LOSS: 11.046731948852539 
------------------------- 
Pred: mary          True: mary
Pred: mary          True:  po
Pred: mary          True: pp
Pred: mary          True: ins
Pred:  throughout   True: </s>

Pred: j             True: h
Pred: )             True: onda
Pred: h             True: </s>
Pred:  h            True: <pad>
Pred:  h            True: <pad>

Pred: del           True: del
Pred: del           True: iver
Pred: del           True: ies
Pred: del           True: </s>
Pred:  relief       True: <pad>

Pred:  p            True: p
Pred:  p            True: oodle
Pred:  p            True: </s>
Pred:  p            True: <pad>
Pred:  p            True: <pad>

LOSS: 11.184773445129395 
------------------------- 
Pred: monkey        True: monkey
Pred: monkey        True: </s>
Pred:  monkey       True: <pad>

Pred:  and          True: ryan
Pred:  and          True: air
Pred:  the          True: </s>

Pred:  co           True: co
Pred:  co           True: ffee
Pred:  co           True: </s>

Pred: pl            True: pl
Pred: </s>          True: astic
Pred: pl            True: </s>

LOSS: 7.4645843505859375 
------------------------- 
Pred: pine          True: pine
Pred: pine          True: </s>
Pred: pine          True: <pad>

Pred: ball          True: ball
Pred:  ball         True: </s>
Pred:  ball         True: <pad>

Pred: person        True: person
Pred: </s>          True: als
Pred: </s>          True: </s>

Pred: fed           True: fed
Pred:  fed          True: ora
Pred: fed           True: </s>

LOSS: 8.36016845703125 
------------------------- 
Pred: 2             True: 2
Pred:  2            True:  tons
Pred:  way          True: </s>
Pred:  use          True: <pad>
Pred:  use          True: <pad>

Pred: </s>          True: on
Pred: </s>          True: ions
Pred: </s>          True:  and
Pred: </s>          True:  peppers
Pred: </s>          True: </s>

Pred: jack          True: jack
Pred: jack          True: ie
Pred:  entertainmentTrue:  rob
Pred:  jack         True: inson
Pred:  jack         True: </s>

Pred: </s>          True: metal
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: ''            True: <pad>
Pred: </s>          True: <pad>

LOSS: 10.890480041503906 
------------------------- 
Pred: mo            True: mo
Pred:  mo           True: zi
Pred:  mo           True: </s>

Pred: cook          True: cook
Pred:  cook         True: </s>
Pred:  cook         True: <pad>

Pred: ice           True: ice
Pred: </s>          True:  fishing
Pred: </s>          True: </s>

Pred: 100           True: 100
Pred: </s>          True:  years
Pred: </s>          True: </s>

LOSS: 7.2201690673828125 
------------------------- 
Pred: </s>          True: s
Pred: </s>          True: now
Pred: </s>          True: pl
Pred: </s>          True: ow
Pred: </s>          True: </s>

Pred:  xp           True: windows
Pred:  software     True: </s>
Pred:  windows      True: <pad>
Pred:  windows      True: <pad>
Pred:  windows      True: <pad>

Pred: )             True: c
Pred: )             True: arn
Pred: )             True: ival
Pred: ce            True: </s>
Pred: )             True: <pad>

Pred: lev           True: lev
Pred: lev           True: is
Pred: lev           True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

LOSS: 11.208765029907227 
------------------------- 
Pred: art           True: art
Pred:  art          True: </s>

Pred: map           True: map
Pred: map           True: </s>

Pred: </s>          True: stop
Pred:  stop         True: </s>

Pred: </s>          True: camera
Pred:  camera       True: </s>

LOSS: 2.5465383529663086 
------------------------- 
Pred: vert          True: vert
Pred: </s>          True: ical
Pred: vert          True: </s>
Pred: </s>          True: <pad>

Pred: park          True: park
Pred: </s>          True: ing
Pred: </s>          True:  meter
Pred: </s>          True: </s>

Pred: so            True: so
Pred: so            True: ap
Pred: so            True: </s>
Pred:  so           True: <pad>

Pred:  orange       True: orange
Pred: orange        True: </s>
Pred:  orange       True: <pad>
Pred:  orange       True: <pad>

LOSS: 9.351019859313965 
------------------------- 
Pred:  clocks       True: time
Pred:  clocks       True: </s>
Pred:  clocks       True: <pad>

Pred: </s>          True: time
Pred:  time         True: </s>
Pred:  time         True: <pad>

Pred:  sailing      True: ship
Pred:  sailing      True: </s>
Pred: ship          True: <pad>

Pred: des           True: des
Pred: des           True: k
Pred: des           True: </s>

LOSS: 10.535616874694824 
------------------------- 
Pred: ''            True: ele
Pred: ''            True: phant
Pred: </s>          True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: tie           True: tie
Pred: </s>          True:  it
Pred: tie           True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred:  from         True: wa
Pred: ,             True: iting
Pred:  a            True:  for
Pred: ,             True:  owners
Pred: wa            True: </s>

Pred:  ad           True: ad
Pred:  ad           True: idas
Pred:  ad           True: </s>
Pred:  ad           True: <pad>
Pred:  ad           True: <pad>

LOSS: 10.892316818237305 
------------------------- 
Pred: dec           True: dec
Pred: </s>          True: oration
Pred: dec           True: </s>
Pred: </s>          True: <pad>
Pred: </s>          True: <pad>

Pred: pet           True: pet
Pred:  cat          True: ting
Pred: pet           True: </s>
Pred: </s>          True: <pad>
Pred: pet           True: <pad>

Pred: horse         True: horse
Pred: horse         True:  back
Pred: </s>          True:  riding
Pred: </s>          True:  jumping
Pred: </s>          True: </s>

Pred: beer          True: beer
Pred: beer          True: </s>
Pred: beer          True: <pad>
Pred: beer          True: <pad>
Pred:  beer         True: <pad>

LOSS: 11.59263801574707 
------------------------- 
Pred: jack          True: jack
Pred: jack          True: ie
Pred:  jack         True:  rob
Pred:  jack         True: inson
Pred:  jack         True: </s>

Pred: fire          True: fire
Pred: fire          True: </s>
Pred:  fire         True: <pad>
Pred:  fire         True: <pad>
Pred: </s>          True: <pad>

Pred: chair         True: chair
Pred: chair         True: </s>
Pred: chair         True: <pad>
Pred:  chair        True: <pad>
Pred: </s>          True: <pad>

Pred: fore          True: fore
Pred: ood           True: hand
Pred: fore          True: </s>
Pred:  of           True: <pad>
Pred: </s>          True: <pad>

LOSS: 13.38544750213623 
------------------------- 
Pred: shut          True: shut
Pred:  shut         True:  door
Pred: shut          True: </s>

Pred: pir           True: pir
Pred: pir           True: ate
Pred: pir           True: </s>

